2022051  02 05 11 17 21 33 - 01 | 跨度: 31 | 和值: 89  | AC: 7  | 区间: (3, 2, 1) | 奇数: (0, 1, 1, 1, 1, 1) : 5 | 尾号: (2, 5, 1, 7, 1, 3) | 012路: (2, 2, 2, 2, 0, 0) | 步长: (0, 3, 6, 6, 4, 12) : 31 | 连号: 0 | 连号组数: 0
2022036  02 03 14 16 26 31 - 02 | 跨度: 29 | 和值: 92  | AC: 9  | 区间: (2, 2, 2) | 奇数: (0, 1, 0, 0, 0, 1) : 2 | 尾号: (2, 3, 4, 6, 6, 1) | 012路: (2, 0, 2, 1, 2, 1) | 步长: (0, 1, 11, 2, 10, 5): 29 | 连号: 1 | 连号组数: 1
2022035  08 12 13 19 23 25 - 15 | 跨度: 17 | 和值: 100 | AC: 7  | 区间: (1, 3, 2) | 奇数: (0, 0, 1, 1, 1, 1) : 4 | 尾号: (8, 2, 3, 9, 3, 5) | 012路: (2, 0, 1, 1, 2, 1) | 步长: (0, 4, 1, 6, 4, 2)  : 17 | 连号: 1 | 连号组数: 1
2022034  14 17 26 31 32 33 - 10 | 跨度: 19 | 和值: 153 | AC: 9  | 区间: (0, 2, 4) | 奇数: (0, 1, 0, 1, 0, 1) : 3 | 尾号: (4, 7, 6, 1, 2, 3) | 012路: (2, 2, 2, 1, 2, 0) | 步长: (0, 3, 9, 5, 1, 1)  : 19 | 连号: 2 | 连号组数: 1
2022033  05 12 19 22 25 26 - 05 | 跨度: 21 | 和值: 109 | AC: 6  | 区间: (1, 3, 2) | 奇数: (1, 0, 1, 0, 1, 0) : 3 | 尾号: (5, 2, 9, 2, 5, 6) | 012路: (2, 0, 1, 1, 1, 2) | 步长: (0, 7, 7, 3, 3, 1)  : 21 | 连号: 1 | 连号组数: 1
2022032  04 10 11 14 23 32 - 07 | 跨度: 28 | 和值: 94  | AC: 9  | 区间: (3, 1, 2) | 奇数: (0, 0, 1, 0, 1, 0) : 2 | 尾号: (4, 0, 1, 4, 3, 2) | 012路: (1, 1, 2, 2, 2, 2) | 步长: (0, 6, 1, 3, 9, 9)  : 28 | 连号: 1 | 连号组数: 1
2022031  01 10 11 22 26 32 - 07 | 跨度: 31 | 和值: 102 | AC: 8  | 区间: (3, 1, 2) | 奇数: (1, 0, 1, 0, 0, 0) : 2 | 尾号: (1, 0, 1, 2, 6, 2) | 012路: (1, 1, 2, 1, 2, 2) | 步长: (0, 9, 1, 11, 4, 6) : 31 | 连号: 1 | 连号组数: 1
2022030  12 23 24 26 27 30 - 05 | 跨度: 18 | 和值: 142 | AC: 6  | 区间: (0, 1, 5) | 奇数: (0, 1, 0, 0, 1, 0) : 2 | 尾号: (2, 3, 4, 6, 7, 0) | 012路: (0, 2, 0, 2, 0, 0) | 步长: (0, 11, 1, 2, 1, 3) : 18 | 连号: 2 | 连号组数: 2
2022029  03 08 10 13 26 32 - 08 | 跨度: 29 | 和值: 92  | AC: 9  | 区间: (3, 1, 2) | 奇数: (1, 0, 0, 1, 0, 0) : 2 | 尾号: (3, 8, 0, 3, 6, 2) | 012路: (0, 2, 1, 1, 2, 2) | 步长: (0, 5, 2, 3, 13, 6) : 29 | 连号: 0 | 连号组数: 0
2022028  05 11 20 22 23 29 - 09 | 跨度: 24 | 和值: 110 | AC: 7  | 区间: (2, 2, 2) | 奇数: (1, 1, 0, 0, 1, 1) : 4 | 尾号: (5, 1, 0, 2, 3, 9) | 012路: (2, 2, 2, 1, 2, 2) | 步长: (0, 6, 9, 2, 1, 6)  : 24 | 连号: 1 | 连号组数: 1
2022027  14 15 18 19 26 32 - 09 | 跨度: 18 | 和值: 124 | AC: 8  | 区间: (0, 4, 2) | 奇数: (0, 1, 0, 1, 0, 0) : 2 | 尾号: (4, 5, 8, 9, 6, 2) | 012路: (2, 0, 0, 1, 2, 2) | 步长: (0, 1, 3, 1, 7, 6)  : 18 | 连号: 2 | 连号组数: 2
2022026  03 04 10 15 22 24 - 02 | 跨度: 21 | 和值: 78  | AC: 8  | 区间: (3, 2, 1) | 奇数: (1, 0, 0, 1, 0, 0) : 2 | 尾号: (3, 4, 0, 5, 2, 4) | 012路: (0, 1, 1, 0, 1, 0) | 步长: (0, 1, 6, 5, 7, 2)  : 21 | 连号: 1 | 连号组数: 1
2022025  06 19 24 25 28 32 - 04 | 跨度: 26 | 和值: 134 | AC: 8  | 区间: (1, 1, 4) | 奇数: (0, 1, 0, 1, 0, 0) : 2 | 尾号: (6, 9, 4, 5, 8, 2) | 012路: (0, 1, 0, 1, 1, 2) | 步长: (0, 13, 5, 1, 3, 4) : 26 | 连号: 1 | 连号组数: 1
2022024  07 09 10 14 19 24 - 15 | 跨度: 17 | 和值: 83  | AC: 7  | 区间: (3, 2, 1) | 奇数: (1, 1, 0, 0, 1, 0) : 3 | 尾号: (7, 9, 0, 4, 9, 4) | 012路: (1, 0, 1, 2, 1, 0) | 步长: (0, 2, 1, 4, 5, 5)  : 17 | 连号: 1 | 连号组数: 1
2022023  07 12 17 19 24 25 - 02 | 跨度: 18 | 和值: 104 | AC: 6  | 区间: (1, 3, 2) | 奇数: (1, 0, 1, 1, 0, 1) : 4 | 尾号: (7, 2, 7, 9, 4, 5) | 012路: (1, 0, 2, 1, 0, 1) | 步长: (0, 5, 5, 2, 5, 1)  : 18 | 连号: 1 | 连号组数: 1
2022022  01 07 11 15 17 19 - 06 | 跨度: 18 | 和值: 70  | AC: 4  | 区间: (3, 3, 0) | 奇数: (1, 1, 1, 1, 1, 1) : 6 | 尾号: (1, 7, 1, 5, 7, 9) | 012路: (1, 1, 2, 0, 2, 1) | 步长: (0, 6, 4, 4, 2, 2)  : 18 | 连号: 0 | 连号组数: 0
2022021  03 07 22 24 26 31 - 14 | 跨度: 28 | 和值: 113 | AC: 7  | 区间: (2, 1, 3) | 奇数: (1, 1, 0, 0, 0, 1) : 3 | 尾号: (3, 7, 2, 4, 6, 1) | 012路: (0, 1, 1, 0, 2, 1) | 步长: (0, 4, 15, 2, 2, 5) : 28 | 连号: 0 | 连号组数: 0
2022020  09 11 14 22 30 32 - 01 | 跨度: 23 | 和值: 118 | AC: 7  | 区间: (2, 2, 2) | 奇数: (1, 1, 0, 0, 0, 0) : 2 | 尾号: (9, 1, 4, 2, 0, 2) | 012路: (0, 2, 2, 1, 0, 2) | 步长: (0, 2, 3, 8, 8, 2)  : 23 | 连号: 0 | 连号组数: 0
2022019  05 06 14 20 21 25 - 08 | 跨度: 20 | 和值: 91  | AC: 8  | 区间: (2, 3, 1) | 奇数: (1, 0, 0, 0, 1, 1) : 3 | 尾号: (5, 6, 4, 0, 1, 5) | 012路: (2, 0, 2, 2, 0, 1) | 步长: (0, 1, 8, 6, 1, 4)  : 20 | 连号: 2 | 连号组数: 2
2022018  07 11 16 17 30 32 - 16 | 跨度: 25 | 和值: 113 | AC: 10 | 区间: (2, 2, 2) | 奇数: (1, 1, 0, 1, 0, 0) : 3 | 尾号: (7, 1, 6, 7, 0, 2) | 012路: (1, 2, 1, 2, 0, 2) | 步长: (0, 4, 5, 1, 13, 2) : 25 | 连号: 1 | 连号组数: 1
2022017  06 09 24 29 30 32 - 07 | 跨度: 26 | 和值: 130 | AC: 8  | 区间: (2, 0, 4) | 奇数: (0, 1, 0, 1, 0, 0) : 2 | 尾号: (6, 9, 4, 9, 0, 2) | 012路: (0, 0, 0, 2, 0, 2) | 步长: (0, 3, 15, 5, 1, 2) : 26 | 连号: 1 | 连号组数: 1
2022016  05 10 19 20 29 31 - 14 | 跨度: 26 | 和值: 114 | AC: 8  | 区间: (2, 2, 2) | 奇数: (1, 0, 1, 0, 1, 1) : 4 | 尾号: (5, 0, 9, 0, 9, 1) | 012路: (2, 1, 1, 2, 2, 1) | 步长: (0, 5, 9, 1, 9, 2)  : 26 | 连号: 1 | 连号组数: 1
2022015  06 14 16 27 28 31 - 07 | 跨度: 25 | 和值: 122 | AC: 10 | 区间: (1, 2, 3) | 奇数: (0, 0, 0, 1, 0, 1) : 2 | 尾号: (6, 4, 6, 7, 8, 1) | 012路: (0, 2, 1, 0, 1, 1) | 步长: (0, 8, 2, 11, 1, 3) : 25 | 连号: 1 | 连号组数: 1
2022014  06 07 13 14 15 27 - 04 | 跨度: 21 | 和值: 82  | AC: 6  | 区间: (2, 3, 1) | 奇数: (0, 1, 1, 0, 1, 1) : 4 | 尾号: (6, 7, 3, 4, 5, 7) | 012路: (0, 1, 1, 2, 0, 0) | 步长: (0, 1, 6, 1, 1, 12) : 21 | 连号: 3 | 连号组数: 2
2022013  02 03 04 07 10 18 - 15 | 跨度: 16 | 和值: 44  | AC: 7  | 区间: (5, 1, 0) | 奇数: (0, 1, 0, 1, 0, 0) : 2 | 尾号: (2, 3, 4, 7, 0, 8) | 012路: (2, 0, 1, 1, 1, 0) | 步长: (0, 1, 1, 3, 3, 8)  : 16 | 连号: 2 | 连号组数: 1
2022012  04 07 08 29 30 31 - 01 | 跨度: 27 | 和值: 109 | AC: 6  | 区间: (3, 0, 3) | 奇数: (0, 1, 0, 1, 0, 1) : 3 | 尾号: (4, 7, 8, 9, 0, 1) | 012路: (1, 1, 2, 2, 0, 1) | 步长: (0, 3, 1, 21, 1, 1) : 27 | 连号: 3 | 连号组数: 2
2022011  06 15 23 24 25 33 - 15 | 跨度: 27 | 和值: 126 | AC: 4  | 区间: (1, 1, 4) | 奇数: (0, 1, 1, 0, 1, 1) : 4 | 尾号: (6, 5, 3, 4, 5, 3) | 012路: (0, 0, 2, 0, 1, 0) | 步长: (0, 9, 8, 1, 1, 8)  : 27 | 连号: 2 | 连号组数: 1
2022010  12 18 19 20 21 32 - 15 | 跨度: 20 | 和值: 122 | AC: 7  | 区间: (0, 5, 1) | 奇数: (0, 0, 1, 0, 1, 0) : 2 | 尾号: (2, 8, 9, 0, 1, 2) | 012路: (0, 0, 1, 2, 0, 2) | 步长: (0, 6, 1, 1, 1, 11) : 20 | 连号: 3 | 连号组数: 1
2022009  04 15 17 19 25 28 - 16 | 跨度: 24 | 和值: 108 | AC: 7  | 区间: (1, 3, 2) | 奇数: (0, 1, 1, 1, 1, 0) : 4 | 尾号: (4, 5, 7, 9, 5, 8) | 012路: (1, 0, 2, 1, 1, 1) | 步长: (0, 11, 2, 2, 6, 3) : 24 | 连号: 0 | 连号组数: 0
2022008  02 03 07 09 20 21 - 13 | 跨度: 19 | 和值: 62  | AC: 8  | 区间: (4, 2, 0) | 奇数: (0, 1, 1, 1, 0, 1) : 4 | 尾号: (2, 3, 7, 9, 0, 1) | 012路: (2, 0, 1, 0, 2, 0) | 步长: (0, 1, 4, 2, 11, 1) : 19 | 连号: 2 | 连号组数: 2
2022007  01 20 22 23 25 28 - 16 | 跨度: 27 | 和值: 119 | AC: 6  | 区间: (1, 2, 3) | 奇数: (1, 0, 0, 1, 1, 0) : 3 | 尾号: (1, 0, 2, 3, 5, 8) | 012路: (1, 2, 1, 2, 1, 1) | 步长: (0, 19, 2, 1, 2, 3) : 27 | 连号: 1 | 连号组数: 1
2022006  03 06 09 15 22 31 - 02 | 跨度: 28 | 和值: 86  | AC: 6  | 区间: (3, 2, 1) | 奇数: (1, 0, 1, 1, 0, 1) : 4 | 尾号: (3, 6, 9, 5, 2, 1) | 012路: (0, 0, 0, 0, 1, 1) | 步长: (0, 3, 3, 6, 7, 9)  : 28 | 连号: 0 | 连号组数: 0
2022005  07 10 12 16 19 31 - 16 | 跨度: 24 | 和值: 95  | AC: 7  | 区间: (2, 3, 1) | 奇数: (1, 0, 0, 0, 1, 1) : 3 | 尾号: (7, 0, 2, 6, 9, 1) | 012路: (1, 1, 0, 1, 1, 1) | 步长: (0, 3, 2, 4, 3, 12) : 24 | 连号: 0 | 连号组数: 0
2022004  05 19 24 28 30 32 - 14 | 跨度: 27 | 和值: 138 | AC: 8  | 区间: (1, 1, 4) | 奇数: (1, 1, 0, 0, 0, 0) : 2 | 尾号: (5, 9, 4, 8, 0, 2) | 012路: (2, 1, 0, 1, 0, 2) | 步长: (0, 14, 5, 4, 2, 2) : 27 | 连号: 0 | 连号组数: 0
2022003  02 05 16 17 18 30 - 06 | 跨度: 28 | 和值: 88  | AC: 6  | 区间: (2, 3, 1) | 奇数: (0, 1, 0, 1, 0, 0) : 2 | 尾号: (2, 5, 6, 7, 8, 0) | 012路: (2, 2, 1, 2, 0, 0) | 步长: (0, 3, 11, 1, 1, 12): 28 | 连号: 2 | 连号组数: 1
2022002  02 12 21 23 25 31 - 08 | 跨度: 29 | 和值: 114 | AC: 7  | 区间: (1, 2, 3) | 奇数: (0, 0, 1, 1, 1, 1) : 4 | 尾号: (2, 2, 1, 3, 5, 1) | 012路: (2, 0, 0, 2, 1, 1) | 步长: (0, 10, 9, 2, 2, 6) : 29 | 连号: 0 | 连号组数: 0
2022001  06 13 15 17 20 21 - 03 | 跨度: 15 | 和值: 92  | AC: 7  | 区间: (1, 5, 0) | 奇数: (0, 1, 1, 1, 0, 1) : 4 | 尾号: (6, 3, 5, 7, 0, 1) | 012路: (0, 1, 0, 2, 2, 0) | 步长: (0, 7, 2, 2, 3, 1)  : 15 | 连号: 1 | 连号组数: 1
2021150  09 14 20 21 24 26 - 04 | 跨度: 17 | 和值: 114 | AC: 7  | 区间: (1, 3, 2) | 奇数: (1, 0, 0, 1, 0, 0) : 2 | 尾号: (9, 4, 0, 1, 4, 6) | 012路: (0, 2, 2, 0, 0, 2) | 步长: (0, 5, 6, 1, 3, 2)  : 17 | 连号: 1 | 连号组数: 1
2021149  05 10 15 18 19 32 - 05 | 跨度: 27 | 和值: 99  | AC: 7  | 区间: (2, 3, 1) | 奇数: (1, 0, 1, 0, 1, 0) : 3 | 尾号: (5, 0, 5, 8, 9, 2) | 012路: (2, 1, 0, 0, 1, 2) | 步长: (0, 5, 5, 3, 1, 13) : 27 | 连号: 1 | 连号组数: 1
2021148  10 12 15 17 19 20 - 08 | 跨度: 10 | 和值: 93  | AC: 4  | 区间: (1, 5, 0) | 奇数: (0, 0, 1, 1, 1, 0) : 3 | 尾号: (0, 2, 5, 7, 9, 0) | 012路: (1, 0, 0, 2, 1, 2) | 步长: (0, 2, 3, 2, 2, 1)  : 10 | 连号: 1 | 连号组数: 1
2021147  05 10 11 13 27 28 - 09 | 跨度: 23 | 和值: 94  | AC: 8  | 区间: (3, 1, 2) | 奇数: (1, 0, 1, 1, 1, 0) : 4 | 尾号: (5, 0, 1, 3, 7, 8) | 012路: (2, 1, 2, 1, 0, 1) | 步长: (0, 5, 1, 2, 14, 1) : 23 | 连号: 2 | 连号组数: 2
2021146  07 09 21 22 26 32 - 03 | 跨度: 25 | 和值: 117 | AC: 10 | 区间: (2, 2, 2) | 奇数: (1, 1, 1, 0, 0, 0) : 3 | 尾号: (7, 9, 1, 2, 6, 2) | 012路: (1, 0, 0, 1, 2, 2) | 步长: (0, 2, 12, 1, 4, 6) : 25 | 连号: 1 | 连号组数: 1
2021145  04 07 10 14 16 26 - 09 | 跨度: 22 | 和值: 77  | AC: 6  | 区间: (3, 2, 1) | 奇数: (0, 1, 0, 0, 0, 0) : 1 | 尾号: (4, 7, 0, 4, 6, 6) | 012路: (1, 1, 1, 2, 1, 2) | 步长: (0, 3, 3, 4, 2, 10) : 22 | 连号: 0 | 连号组数: 0
2021144  02 05 13 15 23 26 - 07 | 跨度: 24 | 和值: 84  | AC: 4  | 区间: (2, 2, 2) | 奇数: (0, 1, 1, 1, 1, 0) : 4 | 尾号: (2, 5, 3, 5, 3, 6) | 012路: (2, 2, 1, 0, 2, 2) | 步长: (0, 3, 8, 2, 8, 3)  : 24 | 连号: 0 | 连号组数: 0
2021143  01 09 11 13 20 29 - 09 | 跨度: 28 | 和值: 83  | AC: 8  | 区间: (3, 2, 1) | 奇数: (1, 1, 1, 1, 0, 1) : 5 | 尾号: (1, 9, 1, 3, 0, 9) | 012路: (1, 0, 2, 1, 2, 2) | 步长: (0, 8, 2, 2, 7, 9)  : 28 | 连号: 0 | 连号组数: 0
2021142  04 07 17 19 20 24 - 16 | 跨度: 20 | 和值: 91  | AC: 8  | 区间: (2, 3, 1) | 奇数: (0, 1, 1, 1, 0, 0) : 3 | 尾号: (4, 7, 7, 9, 0, 4) | 012路: (1, 1, 2, 1, 2, 0) | 步长: (0, 3, 10, 2, 1, 4) : 20 | 连号: 1 | 连号组数: 1
2021141  01 14 19 23 26 30 - 10 | 跨度: 29 | 和值: 113 | AC: 8  | 区间: (1, 2, 3) | 奇数: (1, 0, 1, 1, 0, 0) : 3 | 尾号: (1, 4, 9, 3, 6, 0) | 012路: (1, 2, 1, 2, 2, 0) | 步长: (0, 13, 5, 4, 3, 4) : 29 | 连号: 0 | 连号组数: 0
2021140  05 10 16 26 27 33 - 01 | 跨度: 28 | 和值: 117 | AC: 7  | 区间: (2, 1, 3) | 奇数: (1, 0, 0, 0, 1, 1) : 3 | 尾号: (5, 0, 6, 6, 7, 3) | 012路: (2, 1, 1, 2, 0, 0) | 步长: (0, 5, 6, 10, 1, 6) : 28 | 连号: 1 | 连号组数: 1
2021139  12 14 19 23 24 27 - 01 | 跨度: 15 | 和值: 119 | AC: 8  | 区间: (0, 3, 3) | 奇数: (0, 0, 1, 1, 0, 1) : 3 | 尾号: (2, 4, 9, 3, 4, 7) | 012路: (0, 2, 1, 2, 0, 0) | 步长: (0, 2, 5, 4, 1, 3)  : 15 | 连号: 1 | 连号组数: 1
2021138  11 14 15 16 27 32 - 09 | 跨度: 21 | 和值: 115 | AC: 7  | 区间: (1, 3, 2) | 奇数: (1, 0, 1, 0, 1, 0) : 3 | 尾号: (1, 4, 5, 6, 7, 2) | 012路: (2, 2, 0, 1, 0, 2) | 步长: (0, 3, 1, 1, 11, 5) : 21 | 连号: 2 | 连号组数: 1
2021137  03 07 10 14 21 24 - 01 | 跨度: 21 | 和值: 79  | AC: 4  | 区间: (3, 2, 1) | 奇数: (1, 1, 0, 0, 1, 0) : 3 | 尾号: (3, 7, 0, 4, 1, 4) | 012路: (0, 1, 1, 2, 0, 0) | 步长: (0, 4, 3, 4, 7, 3)  : 21 | 连号: 0 | 连号组数: 0
2021136  02 06 09 15 19 28 - 16 | 跨度: 26 | 和值: 79  | AC: 6  | 区间: (3, 2, 1) | 奇数: (0, 0, 1, 1, 1, 0) : 3 | 尾号: (2, 6, 9, 5, 9, 8) | 012路: (2, 0, 0, 0, 1, 1) | 步长: (0, 4, 3, 6, 4, 9)  : 26 | 连号: 0 | 连号组数: 0
2021135  03 10 17 19 21 31 - 04 | 跨度: 28 | 和值: 101 | AC: 7  | 区间: (2, 3, 1) | 奇数: (1, 0, 1, 1, 1, 1) : 5 | 尾号: (3, 0, 7, 9, 1, 1) | 012路: (0, 1, 2, 1, 0, 1) | 步长: (0, 7, 7, 2, 2, 10) : 28 | 连号: 0 | 连号组数: 0
2021134  01 02 16 19 25 31 - 08 | 跨度: 30 | 和值: 94  | AC: 8  | 区间: (2, 2, 2) | 奇数: (1, 0, 0, 1, 1, 1) : 4 | 尾号: (1, 2, 6, 9, 5, 1) | 012路: (1, 2, 1, 1, 1, 1) | 步长: (0, 1, 14, 3, 6, 6) : 30 | 连号: 1 | 连号组数: 1
2021133  01 03 12 19 27 31 - 10 | 跨度: 30 | 和值: 93  | AC: 10 | 区间: (2, 2, 2) | 奇数: (1, 1, 0, 1, 1, 1) : 5 | 尾号: (1, 3, 2, 9, 7, 1) | 012路: (1, 0, 0, 1, 0, 1) | 步长: (0, 2, 9, 7, 8, 4)  : 30 | 连号: 0 | 连号组数: 0
2021132  01 04 06 14 20 28 - 08 | 跨度: 27 | 和值: 73  | AC: 8  | 区间: (3, 2, 1) | 奇数: (1, 0, 0, 0, 0, 0) : 1 | 尾号: (1, 4, 6, 4, 0, 8) | 012路: (1, 1, 0, 2, 2, 1) | 步长: (0, 3, 2, 8, 6, 8)  : 27 | 连号: 0 | 连号组数: 0
2021131  08 11 18 19 20 24 - 01 | 跨度: 16 | 和值: 100 | AC: 9  | 区间: (2, 3, 1) | 奇数: (0, 1, 0, 1, 0, 0) : 2 | 尾号: (8, 1, 8, 9, 0, 4) | 012路: (2, 2, 0, 1, 2, 0) | 步长: (0, 3, 7, 1, 1, 4)  : 16 | 连号: 2 | 连号组数: 1
2021130  08 09 15 24 26 30 - 06 | 跨度: 22 | 和值: 112 | AC: 8  | 区间: (2, 1, 3) | 奇数: (0, 1, 1, 0, 0, 0) : 2 | 尾号: (8, 9, 5, 4, 6, 0) | 012路: (2, 0, 0, 0, 2, 0) | 步长: (0, 1, 6, 9, 2, 4)  : 22 | 连号: 1 | 连号组数: 1
2021129  04 15 21 27 28 29 - 10 | 跨度: 25 | 和值: 124 | AC: 8  | 区间: (1, 2, 3) | 奇数: (0, 1, 1, 1, 0, 1) : 4 | 尾号: (4, 5, 1, 7, 8, 9) | 012路: (1, 0, 0, 0, 1, 2) | 步长: (0, 11, 6, 6, 1, 1) : 25 | 连号: 2 | 连号组数: 1
2021128  05 17 20 21 23 33 - 04 | 跨度: 28 | 和值: 119 | AC: 7  | 区间: (1, 3, 2) | 奇数: (1, 1, 0, 1, 1, 1) : 5 | 尾号: (5, 7, 0, 1, 3, 3) | 012路: (2, 2, 2, 0, 2, 0) | 步长: (0, 12, 3, 1, 2, 10): 28 | 连号: 1 | 连号组数: 1
2021127  07 15 16 20 27 29 - 07 | 跨度: 22 | 和值: 114 | AC: 8  | 区间: (1, 3, 2) | 奇数: (1, 1, 0, 0, 1, 1) : 4 | 尾号: (7, 5, 6, 0, 7, 9) | 012路: (1, 0, 1, 2, 0, 2) | 步长: (0, 8, 1, 4, 7, 2)  : 22 | 连号: 1 | 连号组数: 1
2021126  19 20 23 27 28 31 - 01 | 跨度: 12 | 和值: 148 | AC: 4  | 区间: (0, 2, 4) | 奇数: (1, 0, 1, 1, 0, 1) : 4 | 尾号: (9, 0, 3, 7, 8, 1) | 012路: (1, 2, 2, 0, 1, 1) | 步长: (0, 1, 3, 4, 1, 3)  : 12 | 连号: 2 | 连号组数: 2
2021125  14 19 20 23 24 31 - 09 | 跨度: 17 | 和值: 131 | AC: 7  | 区间: (0, 3, 3) | 奇数: (0, 1, 0, 1, 0, 1) : 3 | 尾号: (4, 9, 0, 3, 4, 1) | 012路: (2, 1, 2, 2, 0, 1) | 步长: (0, 5, 1, 3, 1, 7)  : 17 | 连号: 2 | 连号组数: 2
